index,mu
401,1.13
402,1.13
403,1.13
404,1.13
405,1.13
406,1.13
407,1.13
408,1.13
409,1.13
410,1.13
411,1.13
412,1.13
413,1.13
414,1.13
415,1.13
416,1.13
417,1.13
418,1.13
419,1.13
420,1.13
421,1.13
422,1.13
423,1.13
424,1.13
425,1.13
426,1.13
427,1.13
428,1.13
429,1.13
430,1.13
431,1.13
432,1.13
433,1.13
434,1.13
435,1.13
436,1.13
437,1.13
438,1.13
439,1.13
440,1.13
441,1.13
442,1.13
443,1.13
444,1.13
445,1.13
446,1.13
447,1.13
448,1.13
449,1.13
450,1.13
451,1.13
452,1.13
453,1.13
454,1.13
455,1.13
456,1.13
457,1.13
458,1.13
459,1.13
460,1.13
461,1.13
462,1.13
463,1.13
464,1.13
465,1.13
466,1.13
467,1.13
468,1.13
469,1.13
470,1.13
471,1.13
472,1.13
473,1.13
474,1.13
475,1.13
476,1.13
477,1.13
478,1.13
479,1.13
480,1.13
481,1.13
482,1.13
483,1.13
484,1.13
485,1.13
486,1.13
487,1.13
488,1.13
489,1.13
490,1.13
491,1.13
492,1.13
493,1.13
494,1.13
495,1.13
496,1.13
497,1.13
498,1.13
499,1.13
500,1.13
501,1.13
502,1.13
503,1.13
504,1.13
505,1.13
506,1.13
507,1.13
508,1.13
509,1.13
510,1.13
511,1.13
512,1.13
513,1.13
514,1.13
515,1.13
516,1.13
517,1.13
518,1.13
519,1.13
520,1.13
521,1.13
522,1.13
523,1.13
524,1.13
525,1.13
526,1.13
527,1.13
528,1.13
529,1.13
530,1.13
531,1.13
532,1.13
533,1.13
534,1.13
535,1.13
536,1.13
537,1.13
538,1.13
539,1.13
540,1.13
541,1.13
542,1.13
543,1.13
544,1.13
545,1.13
546,1.13
547,1.13
548,1.13
549,1.13
550,1.13
551,1.13
552,1.13
553,1.13
554,1.13
555,0.8941703865316499
556,1.0369056148230618
557,1.05641682583471
558,1.042602462309692
559,1.0329907740127184
560,1.0195135755643072
561,1.0120186011487897
562,1.0032654345727736
563,0.9973739514183115
564,0.9910625086612169
565,0.987438398801942
566,0.9825034327823037
567,0.9752037216791927
568,0.9702415280120009
569,0.9669135921168993
570,0.9635068381156289
571,0.9593316975730224
572,0.9541792480090576
573,0.9505287529821648
574,0.9473692021809447
575,0.9433958560610668
576,0.9394226371957006
577,0.9356253031431047
578,0.930980987660898
579,0.9246067386480915
580,0.9194853644866019
581,0.9166991072532156
582,0.9130447990108016
583,0.9106038190257555
584,0.9071305373123917
585,0.901829452422945
586,0.8961221496286651
587,0.8898436648106764
588,0.8860066136704792
589,0.8807470786933335
590,0.8765104476782506
591,0.8706481147295815
592,0.8648418357323029
593,0.8601327534560957
594,0.8569720774917439
595,0.8518560602923183
596,0.8475132489520316
597,0.8429352176149565
598,0.8377518766919192
599,0.8332858435507018
600,0.8264330067592875
601,0.8208444375921663
602,0.8155756843788352
603,0.8096852697265249
604,0.8048248690073633
605,0.7979234305237178
606,0.7922351985562477
607,0.7857640998136846
608,0.7796486453922007
609,0.7744969167577385
610,0.7688398343637333
611,0.762409356699719
612,0.7554730359738417
613,0.748894539103873
614,0.742067797767543
615,0.7363519039627435
616,0.7291365597300825
617,0.7215845563630892
618,0.7147000018705261
619,0.7094736615191684
620,0.7031336449646683
621,0.6969045231762478
622,0.691252997270507
623,0.6854143391986713
